First Name,Last Name,Street Number,Street,City,Province,Country,Postal Code
MARIBELLE,THOMAS,66,Mumford,TORONTO,ALBERTA,Canada,77777
JOHNNY,LEONG,45,Park,VANCOUVER,NOVA SCOTIA,Canada,77777
DAVID,GORVETT,66,Union,TORONTO,BRISTISH COLUMBIA,Canada,44444
MANDY,RAIN,66,Mumford,VANCOUVER,NEW BRUNSWICK,Canada,77777
DAVID,GORVETT,45,Park,TORONTO,BRISTISH COLUMBIA,Canada,88888
PETER,GORVETT,23,Park,TORONTO,NOVA SCOTIA,Canada,88888
MICHAEL,WANG,23,Mumford,TORONTO,BRISTISH COLUMBIA,Canada,88888
MANDY,THOMAS,66,Mumford,VANCOUVER,ALBERTA,Canada,44444
MICHAEL,LEONG,45,Park,VANCOUVER,ALBERTA,Canada,77777
CHARLES,LEONG,45,Park,TORONTO,NOVA SCOTIA,Canada,77777
MICHAEL,RAIN,45,Union,VANCOUVER,ALBERTA,Canada,88888
MELISSA,THOMAS,45,Park,VANCOUVER,BRISTISH COLUMBIA,Canada,44444
MONIQUE,THOMAS,45,Union,TORONTO,BRISTISH COLUMBIA,Canada,77777
MELISSA,LEONG,66,Park,VANCOUVER,NOVA SCOTIA,Canada,44444
MADELEINE,THOMAS,45,Mumford,TORONTO,NEW BRUNSWICK,Canada,77777
MONIQUE,LEONG,45,Mumford,VANCOUVER,NEW BRUNSWICK,Canada,77777
JOHN,THOMAS,66,Park,TORONTO,NOVA SCOTIA,Canada,88888
THOMAS,LEONG,23,Union,VANCOUVER,BRISTISH COLUMBIA,Canada,88888
DAVID,WANG,45,Mumford,VANCOUVER,NOVA SCOTIA,Canada,77777
JOHNNY,THOMAS,66,Union,VANCOUVER,BRISTISH COLUMBIA,Canada,88888
